Unnamed: 0,x,y,z
,-5887.400000000001,-862.6,4595.12
,-6112.3,-862.6,4595.64
,-6112.5,-637.5,4597.38
,-5887.5,-637.5,4596.8
,-5137.400000000001,-862.4000000000001,4593.38
,-5362.400000000001,-862.5,4593.86
,-5362.400000000001,-637.5,4595.3
,-5137.200000000001,-637.4000000000001,4594.8
,-5887.5,-112.3,4600.56
,-6112.3,-112.6,4601.02
,-6112.5,112.6,4602.400000000001
,-5887.6,112.5,4601.9400000000005
,-5137.3,-112.5,4598.34
,-5362.400000000001,-112.5,4599.0
,-5362.5,112.3,4600.78
,-5137.200000000001,112.4,4600.3
